Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
19/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,4,Week 4,2,Tuesday
20/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,4,Week 4,3,Wednesday
21/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,4,Week 4,4,Thursday
22/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,4,Week 4,5,Friday
23/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,4,Week 4,6,Saturday
24/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,4,Week 4,7,Sunday
25/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,5,Week 5,1,Monday
26/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,5,Week 5,2,Tuesday
27/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,5,Week 5,3,Wednesday
28/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,5,Week 5,4,Thursday
29/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,5,Week 5,5,Friday
30/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,5,Week 5,6,Saturday
31/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,5,Week 5,7,Sunday
02/01/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,6,Week 6,1,Monday
02/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,6,Week 6,2,Tuesday
02/03/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,6,Week 6,3,Wednesday
02/04/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,6,Week 6,4,Thursday
02/05/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,6,Week 6,5,Friday
02/06/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,6,Week 6,6,Saturday
02/07/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,6,Week 6,7,Sunday
02/08/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,7,Week 7,1,Monday
02/09/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,7,Week 7,2,Tuesday
02/10/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,7,Week 7,3,Wednesday
02/11/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,7,Week 7,4,Thursday
02/12/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,7,Week 7,5,Friday
13/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,7,Week 7,6,Saturday
14/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,7,Week 7,7,Sunday
15/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,8,Week 8,1,Monday
16/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,8,Week 8,2,Tuesday
17/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,8,Week 8,3,Wednesday
18/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,8,Week 8,4,Thursday
19/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,8,Week 8,5,Friday
20/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,8,Week 8,6,Saturday
21/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,8,Week 8,7,Sunday
22/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,9,Week 9,1,Monday
23/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,9,Week 9,2,Tuesday
24/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,9,Week 9,3,Wednesday
25/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,9,Week 9,4,Thursday
26/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,9,Week 9,5,Friday
27/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,9,Week 9,6,Saturday
28/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,9,Week 9,7,Sunday
29/02/2016,2016,1,Q1,2016 - Q1,2,Feb,16-Feb,10,Week 10,1,Monday
03/01/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,10,Week 10,2,Tuesday
03/02/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,10,Week 10,3,Wednesday
03/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,10,Week 10,4,Thursday
03/04/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,10,Week 10,5,Friday
03/05/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,10,Week 10,6,Saturday
03/06/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,10,Week 10,7,Sunday
03/07/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,11,Week 11,1,Monday
03/08/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,11,Week 11,2,Tuesday
03/09/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,11,Week 11,3,Wednesday
03/10/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,11,Week 11,4,Thursday
03/11/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,11,Week 11,5,Friday
03/12/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,11,Week 11,6,Saturday
13/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,11,Week 11,7,Sunday
14/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,12,Week 12,1,Monday
15/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,12,Week 12,2,Tuesday
16/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,12,Week 12,3,Wednesday
17/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,12,Week 12,4,Thursday
18/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,12,Week 12,5,Friday
19/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,12,Week 12,6,Saturday
20/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,12,Week 12,7,Sunday
21/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,13,Week 13,1,Monday
22/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,13,Week 13,2,Tuesday
23/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,13,Week 13,3,Wednesday
24/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,13,Week 13,4,Thursday
25/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,13,Week 13,5,Friday
26/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,13,Week 13,6,Saturday
27/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,13,Week 13,7,Sunday
28/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,14,Week 14,1,Monday
29/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,14,Week 14,2,Tuesday
30/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,14,Week 14,3,Wednesday
31/03/2016,2016,1,Q1,2016 - Q1,3,Mar,16-Mar,14,Week 14,4,Thursday
04/01/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,14,Week 14,5,Friday
04/02/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,14,Week 14,6,Saturday
04/03/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,14,Week 14,7,Sunday
04/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,15,Week 15,1,Monday
04/05/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,15,Week 15,2,Tuesday
04/06/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,15,Week 15,3,Wednesday
04/07/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,15,Week 15,4,Thursday
04/08/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,15,Week 15,5,Friday
04/09/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,15,Week 15,6,Saturday
04/10/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,15,Week 15,7,Sunday
04/11/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,16,Week 16,1,Monday
04/12/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,16,Week 16,2,Tuesday
13/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,16,Week 16,3,Wednesday
14/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,16,Week 16,4,Thursday
15/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,16,Week 16,5,Friday
16/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,16,Week 16,6,Saturday
17/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,16,Week 16,7,Sunday
18/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,17,Week 17,1,Monday
19/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,17,Week 17,2,Tuesday
20/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,17,Week 17,3,Wednesday
21/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,17,Week 17,4,Thursday
22/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,17,Week 17,5,Friday
23/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,17,Week 17,6,Saturday
24/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,17,Week 17,7,Sunday
25/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,18,Week 18,1,Monday
26/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,18,Week 18,2,Tuesday
27/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,18,Week 18,3,Wednesday
28/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,18,Week 18,4,Thursday
29/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,18,Week 18,5,Friday
30/04/2016,2016,2,Q2,2016 - Q2,4,Apr,16-Apr,18,Week 18,6,Saturday
05/01/2016,2016,2,Q2,2016 - Q2,5,May,16-May,18,Week 18,7,Sunday
05/02/2016,2016,2,Q2,2016 - Q2,5,May,16-May,19,Week 19,1,Monday
05/03/2016,2016,2,Q2,2016 - Q2,5,May,16-May,19,Week 19,2,Tuesday
05/04/2016,2016,2,Q2,2016 - Q2,5,May,16-May,19,Week 19,3,Wednesday
05/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,19,Week 19,4,Thursday
05/06/2016,2016,2,Q2,2016 - Q2,5,May,16-May,19,Week 19,5,Friday
05/07/2016,2016,2,Q2,2016 - Q2,5,May,16-May,19,Week 19,6,Saturday
05/08/2016,2016,2,Q2,2016 - Q2,5,May,16-May,19,Week 19,7,Sunday
05/09/2016,2016,2,Q2,2016 - Q2,5,May,16-May,20,Week 20,1,Monday
05/10/2016,2016,2,Q2,2016 - Q2,5,May,16-May,20,Week 20,2,Tuesday
05/11/2016,2016,2,Q2,2016 - Q2,5,May,16-May,20,Week 20,3,Wednesday
05/12/2016,2016,2,Q2,2016 - Q2,5,May,16-May,20,Week 20,4,Thursday
13/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,20,Week 20,5,Friday
14/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,20,Week 20,6,Saturday
15/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,20,Week 20,7,Sunday
16/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,21,Week 21,1,Monday
17/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,21,Week 21,2,Tuesday
18/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,21,Week 21,3,Wednesday
19/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,21,Week 21,4,Thursday
20/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,21,Week 21,5,Friday
21/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,21,Week 21,6,Saturday
22/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,21,Week 21,7,Sunday
23/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,22,Week 22,1,Monday
24/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,22,Week 22,2,Tuesday
25/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,22,Week 22,3,Wednesday
26/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,22,Week 22,4,Thursday
27/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,22,Week 22,5,Friday
28/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,22,Week 22,6,Saturday
29/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,22,Week 22,7,Sunday
30/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,23,Week 23,1,Monday
31/05/2016,2016,2,Q2,2016 - Q2,5,May,16-May,23,Week 23,2,Tuesday
06/01/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,23,Week 23,3,Wednesday
06/02/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,23,Week 23,4,Thursday
06/03/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,23,Week 23,5,Friday
06/04/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,23,Week 23,6,Saturday
06/05/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,23,Week 23,7,Sunday
06/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,24,Week 24,1,Monday
06/07/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,24,Week 24,2,Tuesday
06/08/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,24,Week 24,3,Wednesday
06/09/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,24,Week 24,4,Thursday
06/10/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,24,Week 24,5,Friday
06/11/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,24,Week 24,6,Saturday
06/12/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,24,Week 24,7,Sunday
13/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,25,Week 25,1,Monday
14/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,25,Week 25,2,Tuesday
15/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,25,Week 25,3,Wednesday
16/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,25,Week 25,4,Thursday
17/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,25,Week 25,5,Friday
18/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,25,Week 25,6,Saturday
19/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,25,Week 25,7,Sunday
20/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,26,Week 26,1,Monday
21/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,26,Week 26,2,Tuesday
22/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,26,Week 26,3,Wednesday
23/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,26,Week 26,4,Thursday
24/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,26,Week 26,5,Friday
25/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,26,Week 26,6,Saturday
26/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,26,Week 26,7,Sunday
27/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,27,Week 27,1,Monday
28/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,27,Week 27,2,Tuesday
29/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,27,Week 27,3,Wednesday
30/06/2016,2016,2,Q2,2016 - Q2,6,Jun,16-Jun,27,Week 27,4,Thursday
10/01/2016,2016,4,Q4,2016 - Q4,10,Oct,16-Oct,40,Week 40,6,Saturday
10/02/2016,2016,4,Q4,2016 - Q4,10,Oct,16-Oct,40,Week 40,7,Sunday
10/03/2016,2016,4,Q4,2016 - Q4,10,Oct,16-Oct,41,Week 41,1,Monday
10/04/2016,2016,4,Q4,2016 - Q4,10,Oct,16-Oct,41,Week 41,2,Tuesday
10/05/2016,2016,4,Q4,2016 - Q4,10,Oct,16-Oct,41,Week 41,3,Wednesday
